"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateObservables",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","RtcmTest","","RtcmTest","","BinToBinaryData",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateWrongObservables",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE1BTest","","ReedSolomonE1BTest","","Decode30Errors",""
"failed","Fri Dec 20 09:55:46 GMT 2024","Fri Dec 20 09:55:46 GMT 2024","4","","GalileoE1PcpsAmbiguousAcquisitionTest","","GalileoE1PcpsAmbiguousAcquisitionTest","","ValidationOfResults",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","EncodeWithGenMatrix",""
"passed","Fri Dec 20 09:52:57 GMT 2024","Fri Dec 20 09:52:57 GMT 2024","5","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","ConnectAndRun",""
"passed","Fri Dec 20 09:54:25 GMT 2024","Fri Dec 20 09:54:25 GMT 2024","4","","GlonassL1CaPcpsAcquisitionGSoC2017Test","","GlonassL1CaPcpsAcquisitionGSoC2017Test","","ConnectAndRun",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","InMemoryConfiguration","","InMemoryConfiguration","","IsPresent",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","EncodeWithGenPoly",""
