"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","1","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","DecodeErasure",""
"passed","Tue Dec 17 15:39:26 GMT 2024","Tue Dec 17 15:39:31 GMT 2024","4858","","GalileoE5aTrackingTest","","GalileoE5aTrackingTest","","ValidationOfResults",""
"passed","Tue Dec 17 15:38:27 GMT 2024","Tue Dec 17 15:38:27 GMT 2024","58","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","ConnectAndRun",""
"passed","Tue Dec 17 15:38:02 GMT 2024","Tue Dec 17 15:38:02 GMT 2024","6","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","Instantiate",""
"passed","Tue Dec 17 15:39:26 GMT 2024","Tue Dec 17 15:39:26 GMT 2024","5","","GalileoE6PcpsAcquisitionTest","","GalileoE6PcpsAcquisitionTest","","ConnectAndRun",""
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","0","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","EncodeWithGenPoly",""
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","425","","GalileoE1Pcps8msAmbiguousAcquisitionGSoC2013Test","","GalileoE1Pcps8msAmbiguousAcquisitionGSoC2013Test","","ValidationOfResults",""
"passed","Tue Dec 17 15:38:15 GMT 2024","Tue Dec 17 15:38:26 GMT 2024","10384","","GalileoE1PcpsQuickSyncAmbiguousAcquisitionGSoC2014Test","","GalileoE1PcpsQuickSyncAmbiguousAcquisitionGSoC2014Test","","ValidationOfResultsProbabilities",""
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","0","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","Decode1Error",""
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","1","","ReedSolomonE6BTest","","ReedSolomonE6BTest","","Decode111Errors",""
"passed","Tue Dec 17 15:38:27 GMT 2024","Tue Dec 17 15:38:27 GMT 2024","529","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","ValidationOfResults",""
"passed","Tue Dec 17 15:38:02 GMT 2024","Tue Dec 17 15:38:02 GMT 2024","7","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","GalileoE1PcpsCccwsrAmbiguousAcquisitionTest","","ConnectAndRun",""
"passed","Tue Dec 17 15:37:28 GMT 2024","Tue Dec 17 15:37:28 GMT 2024","0","","ReedSolomonE1BTest","","ReedSolomonE1BTest","","Decode31Errors",""
"passed","Tue Dec 17 15:39:26 GMT 2024","Tue Dec 17 15:39:26 GMT 2024","4","","GalileoE6PcpsAcquisitionTest","","GalileoE6PcpsAcquisitionTest","","Instantiate",""
